Category,Name,Brand,Colors,Quantity,Comments,Link
Clothes,Summer Polo,All In Motion,"Navy",1,,
Clothes,Pima Cotton T-Shirt,Kirkland,"Olive Green",1,,
Clothes,Supima T-Shirt,Uniqlo,"Black, Beige",2,,https://www.uniqlo.com/us/en/products/E455365-000/00?colorDisplayCode=18&sizeDisplayCode=003
Clothes,24x7 T-Shirt,Fabletics,"Washed Black",1,,https://www.fabletics.com/products/THE-247-TEE-SS2354873-6466
Clothes,Pima Cotton T-Shirt,Express,"Black,Navy, Light Green, Brown",4,,https://www.express.com/clothing/men/perfect-pima-cotton-crew-neck-t-shirt/pro/04779555/color/Pitch%20Black/e/regular/?cid=sem:Retail:Goo:Main:PMAX:M:Tees:&&cid=sem:Retail:Goo:Main:PMAX:M:Tees:&gad_source=1&gclid=CjwKCAjwg8qzBhAoEiwAWagLrKAe46SVJ9nHfDbQ-0DuXTDjirPaDlrTIwzLvtU9ZtpnwnGqFkRo5hoCq_QQAvD_BwE&gclsrc=aw.ds
Clothes,Active Crew Neck T-Shirt,True Classic,Heather Navy,1,,https://www.trueclassictees.com/products/heather-navy-short-sleeve-performance-shirt?variant=39476536606792&utm_source=klaviyo-email-flow&utm_medium=email&utm_campaign=Parcel%20Lab%3A%20Out%20For%20Delivery%20Email%201%20%28US%29%20%28YkDctg%29&utm_id=WydiWM&bxid=01H5HADCQPAV3QPGX3QWHYKC1F&klaviyo_profile_id=01H5HADCQPAV3QPGX3QWHYKC1F&tw_source=klaviyo&tw_medium=flow&tw_profile_id=01H5HADCQPAV3QPGX3QWHYKC1F&_kx=74NEMBdG180FKRMRiLKVW2VPOErc71UM43o40b9u5To.Lj2344
Clothes,AIRism Cotton Full Open Polo Shirt (Open Collar),Uniqlo,White,1,,https://www.uniqlo.com/us/en/products/E467515-000/00?colorDisplayCode=00&sizeDisplayCode=003
Clothes,Full Sleeve Fleece Hoodie,North Face,"Brick Red, Blue",2,,https://www.rei.com/product/199259/the-north-face-canyonlands-fleece-hoodie-mens
Clothes,SuperSoft Lounge Pants,Pair of Thieves,Black,2,,https://pairofthieves.com/products/off-duty-lounge-pant-supersoft-lounge-pant-2
Clothes,Ultra Stretch DRY-EX Jogger Pants,Uniqlo,"Olive",1,,https://www.uniqlo.com/us/en/products/E455408-000/00?colorDisplayCode=03&sizeDisplayCode=004
Clothes,541 Athletic Taper Jeans (32 x 32),Levi's,Dark Wash Brimstone,1,,https://www.levi.com/US/en_US/clothing/men/jeans/taper/541-athletic-taper-levis-flex-mens-jeans/p/181810613
Clothes,Cotton Relaxed Ankle Pants,Uniqlo,Beige,1,,https://www.uniqlo.com/us/en/products/E460150-000/00?colorDisplayCode=31&sizeDisplayCode=005
Footwear,Tree Loungers,Allbirds,"Navy Blue",1,,https://www.allbirds.com/products/mens-tree-loungers-navy-night
Footwear,X Ultra GTX,Salomon,Terracota,1,,https://www.salomon.com/en-us/shop/product/x-ultra-4-gtx.html#color=88809
Footwear,Slippers,Nike,Biege,1,Favorite Slippers,
Luggage,Monos Carry On Pro,Monos,Teracotta,1,,https://monos.com/collections/carry-on-luggage/products/carry-on-pro-plus?variant=31756487753802
Luggage,ReFraction Packable Backpack,Matador,Black,1,,https://www.matadorequipment.com/products/refraction-packable-backpack-2?variant=45533457842497